max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
5,0.05,600,1.0,0.8,3,2.0,0.1,0.776052202847832,0.12463432659940206,55,0.6058286389254264,0.8918750104912005,0.9057862411224537,0.8267289825853721,0.6500421411147074,46,95,115,55,18
5,0.05,900,1.0,0.8,3,2.0,0.1,0.776052202847832,0.12463432659940206,55,0.6058286389254264,0.8918750104912005,0.9057862411224537,0.8267289825853721,0.6500421411147074,46,95,115,55,18
5,0.05,1200,1.0,0.8,3,2.0,0.1,0.776052202847832,0.12463432659940206,55,0.6058286389254264,0.8918750104912005,0.9057862411224537,0.8267289825853721,0.6500421411147074,46,95,115,55,18
7,0.05,600,1.0,0.8,3,1.0,0.1,0.7755409567338688,0.129484598592694,46,0.5467310036827642,0.8986715026403801,0.8891899366070813,0.8125947664841381,0.7305175742549805,46,83,115,42,19
7,0.05,900,1.0,0.8,3,1.0,0.1,0.7755409567338688,0.129484598592694,46,0.5467310036827642,0.8986715026403801,0.8891899366070813,0.8125947664841381,0.7305175742549805,46,83,115,42,19
7,0.05,1200,1.0,0.8,3,1.0,0.1,0.7755409567338688,0.129484598592694,46,0.5467310036827642,0.8986715026403801,0.8891899366070813,0.8125947664841381,0.7305175742549805,46,83,115,42,19
5,0.05,600,1.0,0.8,3,2.0,0.0,0.7751944366670892,0.12275004654889417,55,0.5948826387658503,0.8858522257823339,0.9013778720587198,0.8277391642765568,0.6661202824519852,46,86,115,55,19
5,0.05,900,1.0,0.8,3,2.0,0.0,0.7751944366670892,0.12275004654889417,55,0.5948826387658503,0.8858522257823339,0.9013778720587198,0.8277391642765568,0.6661202824519852,46,86,115,55,19
5,0.05,1200,1.0,0.8,3,2.0,0.0,0.7751944366670892,0.12275004654889417,55,0.5948826387658503,0.8858522257823339,0.9013778720587198,0.8277391642765568,0.6661202824519852,46,86,115,55,19
7,0.05,600,1.0,1.0,3,1.0,0.0,0.7743350060277148,0.12178873458138822,42,0.5729023962473401,0.8751283611132034,0.9024006062824762,0.8182897726004187,0.7029538938951359,42,72,155,41,16
7,0.05,900,1.0,1.0,3,1.0,0.0,0.7743350060277148,0.12178873458138822,42,0.5729023962473401,0.8751283611132034,0.9024006062824762,0.8182897726004187,0.7029538938951359,42,72,155,41,16
7,0.05,1200,1.0,1.0,3,1.0,0.0,0.7743350060277148,0.12178873458138822,42,0.5729023962473401,0.8751283611132034,0.9024006062824762,0.8182897726004187,0.7029538938951359,42,72,155,41,16
7,0.05,600,1.0,0.8,3,2.0,0.1,0.7740378925079301,0.1226469265691959,55,0.6058198754644858,0.8910332797526758,0.8970054920927263,0.8262886741150551,0.6500421411147074,46,92,115,55,18
7,0.05,900,1.0,0.8,3,2.0,0.1,0.7740378925079301,0.1226469265691959,55,0.6058198754644858,0.8910332797526758,0.8970054920927263,0.8262886741150551,0.6500421411147074,46,92,115,55,18
